rank,model,thinking_effort,part1,part2,overall
1,Claude Opus 5,xhigh,95.4167,90.0000,93.2500
2,Claude Fable 5,max,95.8333,86.8750,92.2500
3,Claude Opus 5,max,95.0000,87.9167,92.1667
4,Claude Opus 4.8,max,92.5000,80.6250,87.7500
5,Qwen 3.8 Max Preview,provider default,97.9167,71.6667,87.4167
6,GPT 5.6 Sol Pro,max,91.8056,77.0833,85.9167
7,Gemini 3.1 Pro,high,90.0000,66.8750,80.7500
8,GPT 5.5,max,85.0000,72.0833,79.8333
9,Kimi K3,max,83.3333,66.0417,76.4167
10,Kimi K2.7,default,81.8056,65.0000,75.0833
11,MiniMax M3,ultra,60.0000,53.7500,57.5000
